Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
8340,STUDIO H-8 ARCHITECTURE | Architecte d'Intérieur Paris | Lea & Emmanuel,"
157 Rue du Faubourg Saint-Denis, 75010 Paris, France",Paris,,,+33636381354,,,,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8341,Créateurs d'intérieur,"
9 Pass. Dagorno, 75020 Paris, France",Paris,,,+33962247636,,,,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
